"","pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"231","H5","2017",2017-01-01,"2017","6","1","2","Export","242","Fiji","FJI","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","1","No Quantity",NA,"","0",NA,"0",NA,246474,NA,NA,"4"
"232","H5","2017",2017-01-01,"2017","6","1","2","Export","233","Estonia","EST","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","61424",NA,"61424",NA,9382011,NA,NA,"0"
"233","H5","2017",2017-01-01,"2017","6","1","2","Export","242","Fiji","FJI","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","3491",NA,"3491",NA,34788,NA,NA,"0"
"234","H5","2017",2017-01-01,"2017","6","1","2","Export","233","Estonia","EST","0","World","WLD",NA,"","","","","","","903082","Instruments and apparatus; for measuring or checking semiconductor wafers or devices","1","No Quantity",NA,"","0",NA,"109",NA,13469,NA,NA,"6"
"235","H5","2017",2017-01-01,"2017","6","1","2","Export","242","Fiji","FJI","0","World","WLD",NA,"","","","","","","903082","Instruments and apparatus; for measuring or checking semiconductor wafers or devices","5","Number of items",NA,"","2",NA,NA,NA,486,NA,NA,"4"
"236","H5","2017",2017-01-01,"2017","6","1","2","Export","233","Estonia","EST","0","World","WLD",NA,"","","","","","","903141","Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90","1","No Quantity",NA,"","0",NA,"212",NA,41200,NA,NA,"2"
"237","H5","2017",2017-01-01,"2017","6","1","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","8416108",NA,"8416108",NA,219898636,NA,NA,"0"
"238","H5","2017",2017-01-01,"2017","6","1","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","69010752",NA,"69010752",NA,245862960,NA,NA,"0"
"239","H5","2017",2017-01-01,"2017","6","1","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","16532995",NA,"16532995",NA,123651238,NA,NA,"6"
"240","H5","2017",2017-01-01,"2017","6","1","2","Export","246","Finland","FIN","0","World","WLD",NA,"","","","","","","848071","Moulds; for rubber or plastics, injection or compression types","8","Weight in kilograms",NA,"","649739",NA,"649739",NA,30858744,NA,NA,"0"
"241","H5","2017",2017-01-01,"2017","6","1","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","848071","Moulds; for rubber or plastics, injection or compression types","8","Weight in kilograms",NA,"","10387199",NA,"10387199",NA,184079564,NA,NA,"0"
"242","H5","2017",2017-01-01,"2017","4","0","2","Export","246","Finland","FIN","0","World","WLD",NA,"","","","","","","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9-C to this Chapter","1","No Quantity",NA,"","0",NA,"35240",NA,9892162,NA,NA,"6"
"243","H5","2017",2017-01-01,"2017","4","0","2","Export","251","France","FRA","0","World","WLD",NA,"","","","","","","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9-C to this Chapter","1","No Quantity",NA,"","0",NA,NA,NA,240620394,NA,NA,"6"
