Worldwide Total  System Sales Sales,,,,,,,,
"(Total sales in $M, calendar year)",,,,,,,,
,,,,,,,,
AOW,MSTRID,COMPANY,2016,2017,2018,2019,2020,
KS,MIRTK,MIRTEC,19.4,23.4,24.2,17.2,13.9,
EU,ELES,ELES Semi Equip,9.3,14.9,22.4,13.3,13.5,
JA,KOYO,Koyo Machinery,16.4,19.9,20.7,13.1,13.5,
JA,DSC,Dan Science,13.0,14.1,14.0,12.7,12.7,
EU,LPE,LPE,20.2,17.4,14.6,11.3,12.6,
EU,LCL,Vistec Electron Beam,27.4,38.0,23.7,22.6,12.4,
EU,UNITY,Unity SC,NA,18.4,15.3,11.6,11.9,
CH,JIAF,JIAFENG,16.4,19.5,17.2,11.4,11.8,
NA,INCAL,Incal Tech,12.7,16.9,14.9,12.9,11.8,
EU,FNKDB,F&K Delvotec,15.7,15.5,14.5,11.3,11.4,
NA,ATS,Aehr Test Sys,10.7,22.6,20.1,16.5,11.3,
NA,ITV,Intevac,34.9,31.6,15.9,15.5,11.1,
ROW,MITY,Mfg Intg Tech,16.0,15.7,16.2,11.6,10.7,
NA,TRT,Trio-Tech Intl,13.7,12.8,13.3,9.2,10.5,
JA,PANC,Panasonic Factory,19.4,18.9,18.2,11.9,10.4,
ROW,SRMI,SRM,12.9,13.7,12.3,9.8,9.9,
JA,SBY,Shibuya,17.7,16.6,16.2,11.4,9.7,
JA,TYK,Toyoko Kagaku,12.5,12.6,11.4,8.6,9.4,
EU,APS,AP&S,3.7,12.6,17.1,17.1,9.1,
NA,RHS,Revasum,7.0,11.9,25.7,14.5,8.9,
JA,HRB,HORIBA,11.8,12.1,13.0,10.7,8.9,
TW,CRC,Chip Right,9.0,10.1,11.7,8.4,8.1,
KS,GSEM,Genesem,8.8,14.0,14.5,9.7,8.0,
TW,GLPM,Gallant Precision,10.7,11.2,11.3,8.4,7.6,
NA,BOSE,Boston Semi Equip,9.8,11.9,14.3,8.3,7.0,
ROW,ATECH,Adv Dicing Tech,8.6,8.5,9.2,7.1,7.0,
KS,APTEC,AP Tech,12.5,12.2,11.6,7.3,7.0,
KS,UBP,UBprecision,8.5,9.4,8.5,7.1,6.9,
EU,GMNC,G&N Genauigkeits,8.6,10.4,10.7,6.7,6.9,
NA,QUIT,Neutronix Quintel,10.7,9.4,8.6,6.4,6.8,
JA,OLY,Olympus,14.7,14.7,6.7,6.0,6.7,
EU,RENA,RENA,8.2,7.2,5.7,5.2,6.6,
EU,SMSYS,SEMSYSCO,8.4,8.6,7.4,5.4,6.4,
KS,AUROS,AUROS,5.7,7.5,7.1,5.6,6.4,
JA,EEJA,El-plating Eng  JP,5.9,6.3,6.5,5.6,6.4,
NA,CHAP,Chapman Inst,9.5,9.5,9.2,7.4,6.4,
JA,CHO,Ultrasonic Eng,8.0,7.6,8.1,6.2,6.2,
KS,YEST,YEST,6.3,8.2,11.0,5.9,6.0,
TW,ERENG,E&R Eng,8.9,8.6,9.4,6.6,5.9,
JA,TAKA,Takatori,8.6,8.7,8.5,6.0,5.9,
CH,JHT,JHT,6.3,7.0,8.0,5.6,5.5,
NA,KESU,KES System,9.6,7.7,8.6,5.2,5.3,
CH,LHILL,Longhill Ind,7.3,7.5,7.5,5.4,5.2,
ROW,AMLS,Aemulus,4.6,8.8,7.7,7.0,5.0,
NA,AMER,Amerimade Tech,3.2,3.3,3.0,3.1,4.9,
EU,MBA,Meyer Burger,7.5,7.4,7.3,5.1,4.9,
KS,BLUE,BLUE Eng,5.1,6.5,6.9,4.8,4.6,
NA,PPI,Palomar Tech,8.6,7.3,6.8,5.4,4.6,
JA,SHIMD,Shimadzu,5.0,4.7,3.7,3.8,4.6,
NA,TRION,Trion Tech,5.6,5.6,5.0,4.0,4.5,
JA,STK,STK Tech,7.6,7.0,7.3,4.1,4.5,
KS,NXTN,Nextin,2.6,3.5,4.1,3.4,4.3,
TW,LPI,Leading Precision,3.4,3.9,3.8,3.6,4.2,
NA,PEL,Polaris El,5.2,4.7,7.0,4.5,4.2,
EU,FINET,Finetech,5.4,5.4,6.0,4.1,4.0,
EU,EDAI,EDA Ind,5.7,5.5,5.9,4.1,4.0,
NA,TMP,Amtech Sys,6.5,5.7,5.2,3.9,4.0,
EU,GRO,Grohmann Eng,5.2,5.1,5.5,4.1,4.0,
NA,BRWRS,Brewer Science,2.3,2.3,3.1,2.9,3.9,
JA,KDC,KAIJO,26.5,24.9,21.8,4.7,3.9,
ROW,ROKKO,Rokko,9.7,9.9,10.3,3.9,3.7,
JA,YDO,Yamada Den-on,5.6,5.2,6.1,3.4,3.7,
NA,RTES,Rite Track,2.4,2.2,2.9,2.7,3.7,
JA,TOK,TOK,4.0,4.1,3.8,3.1,3.6,
TW,MACHV,MACHVISION,3.2,4.1,5.1,4.6,3.6,
KS,YECL,Soltron,1.9,2.0,3.8,3.3,3.3,
EU,SNG,SINGULUS TECH,5.0,4.7,3.8,3.1,3.3,
CH,DIAS,DIAS Automation,5.0,5.2,5.0,3.4,3.3,
JA,UINC,USHIO,4.5,4.5,4.3,2.9,3.2,
JA,MNAMI,MINAMI,3.1,4.2,4.7,3.1,3.2,
NA,RAVE,RAVE,2.6,2.7,2.8,2.6,3.1,
NA,ROYCE,Royce Inst,5.6,5.4,4.4,3.4,3.1,
EU,PATE,PacTech,4.3,4.6,4.7,3.3,3.1,
EU,RECIF,RECIF Tech,4.7,4.6,4.2,2.9,3.0,
JA,DSCL,Dai-Ichi Seiko,3.8,3.5,3.6,2.9,2.9,
EU,HEIM,Heidelberg Instr,3.2,2.9,2.8,2.3,2.9,
KS,QMC,QMC,3.5,3.6,3.7,2.6,2.9,
NA,HLVL,HiLevel Tech,2.3,2.1,2.8,2.8,2.9,
NA,SCT,SCANNERTECH,4.2,4.0,3.9,3.1,2.9,
NA,TYST,Tystar,3.3,3.4,3.0,2.6,2.9,
KS,INTEK,INTEKPLUS,4.7,6.0,6.1,4.4,2.9,
EU,ROFS,ROFIN,4.9,4.1,3.8,2.8,2.7,
KS,STATE,STATEC,3.3,3.1,3.0,2.5,2.6,
JA,LINTC,LINTEC,3.1,3.1,3.0,2.4,2.4,
NA,FSMI,Frontier Semi,2.4,2.5,2.8,2.4,2.3,
EU,XYZ,XYZTEC,3.7,3.3,3.2,2.4,2.2,
NA,WSB,West-Bond,5.3,4.7,4.0,2.3,2.2,
JA,HOLON,Holon,1.7,1.7,2.0,1.8,2.1,
JA,IDY,IDEYA,3.1,3.8,3.1,2.0,2.1,
ROW,CTECH,Component Technology,5.6,5.6,6.0,3.4,2.0,
ROW,EVERT,AEM Holdings,3.0,3.1,2.9,2.3,1.9,
ROW,VRSB,VisDynamics,3.0,2.9,2.7,2.1,1.9,
NA,NKT,n&k Tech,2.3,2.3,2.3,1.9,1.9,
TW,LINCO,LINCOTEC,1.1,1.5,1.5,1.5,1.9,
NA,FTEST,Focused Test,1.2,1.1,0.9,0.8,1.8,
JA,TOYO,Toyo,2.4,2.3,2.3,1.7,1.8,
NA,STMPF,Schmid Thermal Sys,2.8,2.9,2.8,2.0,1.8,
EU,SSA,SYNOVA,1.4,1.6,2.0,1.5,1.7,
EU,BOSCH,Boschman,2.1,2.0,1.9,1.5,1.5,
NA,KTTI,KingTiger Tech,2.4,2.5,2.6,1.3,1.5,
JA,ISHTE,Ishii Tool & Eng,5.5,6.1,5.6,1.7,1.5,
